study,group,tissue,gene1,gene2,is_marker
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ID3,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,IGKV3-20,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,IGKV4-1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ISG15,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,JUN,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,KRTCAP2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,LMNA,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,LRRFIP1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,MANF,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,MCL1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,MTRNR2L12,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,NCL,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ODC1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,OST4,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,PDIA6,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,PTMA,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,PTPRC,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RGS1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RGS2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RHOB,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL11,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL14,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL15,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL22,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL24,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL29,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL31,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL32,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL37A,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPL5,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPS27,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPS27A,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPS7,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPS8,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,RPSA,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,S100A10,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,S100A11,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,S100A4,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,S100A6,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SEC62,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SERP1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SH3BGRL3,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SPCS1,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SRSF7,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SSR2,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,SSR3,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,STAT1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,TAGLN2,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,TENT5C,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,TMA7,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,TMEM59,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,TMSB10,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,TXNIP,1,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,YBX1,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,YPEL5,2,no
18.human_CrossTissueImmuneCells,normal,Jejunum Lamina Propria,ZFP36L2,1,no
18.human_CrossTissueImmuneCells,normal,Liver,ARL4C,2,no
18.human_CrossTissueImmuneCells,normal,Liver,BHLHE40,2,no
18.human_CrossTissueImmuneCells,normal,Liver,BTG2,2,no
18.human_CrossTissueImmuneCells,normal,Liver,CD83,2,no
18.human_CrossTissueImmuneCells,normal,Liver,CDKN1A,122,yes
18.human_CrossTissueImmuneCells,normal,Liver,CLIC1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,CXCR4,1,no
18.human_CrossTissueImmuneCells,normal,Liver,DUSP1,1,no
18.human_CrossTissueImmuneCells,normal,Liver,EEF1A1,1,no
18.human_CrossTissueImmuneCells,normal,Liver,EGR1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,EREG,1,no
18.human_CrossTissueImmuneCells,normal,Liver,EZR,2,no
18.human_CrossTissueImmuneCells,normal,Liver,FCER1G,1,no
18.human_CrossTissueImmuneCells,normal,Liver,H1FX,2,no
18.human_CrossTissueImmuneCells,normal,Liver,HLA-A,1,no
18.human_CrossTissueImmuneCells,normal,Liver,HLA-B,1,no
18.human_CrossTissueImmuneCells,normal,Liver,HLA-C,1,no
18.human_CrossTissueImmuneCells,normal,Liver,HLA-DRB1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,HLA-E,2,no
18.human_CrossTissueImmuneCells,normal,Liver,HSP90AB1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,HSPA1A,1,no
18.human_CrossTissueImmuneCells,normal,Liver,HSPD1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,HSPE1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,IER3,2,no
18.human_CrossTissueImmuneCells,normal,Liver,IL7R,2,no
18.human_CrossTissueImmuneCells,normal,Liver,IRF1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,JUN,1,no
18.human_CrossTissueImmuneCells,normal,Liver,LAPTM5,1,no
18.human_CrossTissueImmuneCells,normal,Liver,LMNA,1,no
18.human_CrossTissueImmuneCells,normal,Liver,PTMA,1,no
18.human_CrossTissueImmuneCells,normal,Liver,PTPRC,2,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL10A,2,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL15,2,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL32,1,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL34,1,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL35A,2,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL37A,2,no
18.human_CrossTissueImmuneCells,normal,Liver,RPL9,2,no
18.human_CrossTissueImmuneCells,normal,Liver,RPS27A,1,no
18.human_CrossTissueImmuneCells,normal,Liver,RPS7,1,no
18.human_CrossTissueImmuneCells,normal,Liver,RPSA,1,no
18.human_CrossTissueImmuneCells,normal,Liver,S100A11,1,no
18.human_CrossTissueImmuneCells,normal,Liver,S100A4,1,no
18.human_CrossTissueImmuneCells,normal,Liver,S100A6,1,no
18.human_CrossTissueImmuneCells,normal,Liver,SH3BGRL3,1,no
18.human_CrossTissueImmuneCells,normal,Liver,SOD2,1,no
18.human_CrossTissueImmuneCells,normal,Liver,SQSTM1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,TAGLN2,2,no
18.human_CrossTissueImmuneCells,normal,Liver,TNFAIP3,1,no
18.human_CrossTissueImmuneCells,normal,Liver,TXNIP,2,no
18.human_CrossTissueImmuneCells,normal,Liver,YBX1,2,no
18.human_CrossTissueImmuneCells,normal,Liver,ZFP36L2,1,no
18.human_CrossTissueImmuneCells,normal,Lung,AKR1A1,2,no
18.human_CrossTissueImmuneCells,normal,Lung,ARPC5,2,no
18.human_CrossTissueImmuneCells,normal,Lung,ATP1B1,2,no
18.human_CrossTissueImmuneCells,normal,Lung,ATP5IF1,2,no
18.human_CrossTissueImmuneCells,normal,Lung,ATP6V0B,3,no
18.human_CrossTissueImmuneCells,normal,Lung,C1QA,3,no
18.human_CrossTissueImmuneCells,normal,Lung,C1QB,3,no
18.human_CrossTissueImmuneCells,normal,Lung,C1orf162,3,no
18.human_CrossTissueImmuneCells,normal,Lung,CAP1,3,no
18.human_CrossTissueImmuneCells,normal,Lung,CAPZA1,3,no
18.human_CrossTissueImmuneCells,normal,Lung,CAPZB,2,no
18.human_CrossTissueImmuneCells,normal,Lung,CD53,2,no
18.human_CrossTissueImmuneCells,normal,Lung,CREG1,3,no
18.human_CrossTissueImmuneCells,normal,Lung,CSDE1,1,no
18.human_CrossTissueImmuneCells,normal,Lung,CSF1,4,no
18.human_CrossTissueImmuneCells,normal,Lung,CTSS,2,no
18.human_CrossTissueImmuneCells,normal,Lung,EFHD2,4,no
18.human_CrossTissueImmuneCells,normal,Lung,ENO1,3,no
18.human_CrossTissueImmuneCells,normal,Lung,FCER1G,4,no
18.human_CrossTissueImmuneCells,normal,Lung,FCGR2A,4,no
18.human_CrossTissueImmuneCells,normal,Lung,FCGR2B,4,no
18.human_CrossTissueImmuneCells,normal,Lung,FCGR3A,3,no
18.human_CrossTissueImmuneCells,normal,Lung,GAS5,2,no
18.human_CrossTissueImmuneCells,normal,Lung,GBP1,3,no
18.human_CrossTissueImmuneCells,normal,Lung,GLUL,3,no
18.human_CrossTissueImmuneCells,normal,Lung,GNB1,3,no
18.human_CrossTissueImmuneCells,normal,Lung,GNG5,4,no
18.human_CrossTissueImmuneCells,normal,Lung,HIST2H2AA4,2,no
18.human_CrossTissueImmuneCells,normal,Lung,HMGN2,1,no
18.human_CrossTissueImmuneCells,normal,Lung,ID3,4,no
18.human_CrossTissueImmuneCells,normal,Lung,IER5,3,no
18.human_CrossTissueImmuneCells,normal,Lung,IFI6,2,no
18.human_CrossTissueImmuneCells,normal,Lung,ISG15,4,no
18.human_CrossTissueImmuneCells,normal,Lung,JAK1,4,no
18.human_CrossTissueImmuneCells,normal,Lung,JUN,4,no
18.human_CrossTissueImmuneCells,normal,Lung,LAPTM5,3,no
18.human_CrossTissueImmuneCells,normal,Lung,LEPROT,3,no
18.human_CrossTissueImmuneCells,normal,Lung,LMNA,4,no
18.human_CrossTissueImmuneCells,normal,Lung,MCL1,4,no
18.human_CrossTissueImmuneCells,normal,Lung,MNDA,3,no
18.human_CrossTissueImmuneCells,normal,Lung,NDUFS5,1,no
18.human_CrossTissueImmuneCells,normal,Lung,PARK7,3,no
18.human_CrossTissueImmuneCells,normal,Lung,PDE4DIP,3,no
18.human_CrossTissueImmuneCells,normal,Lung,PGD,2,no
18.human_CrossTissueImmuneCells,normal,Lung,PPT1,2,no
18.human_CrossTissueImmuneCells,normal,Lung,PTP4A2,3,no
18.human_CrossTissueImmuneCells,normal,Lung,PTPRC,2,no
18.human_CrossTissueImmuneCells,normal,Lung,RGS1,4,no
18.human_CrossTissueImmuneCells,normal,Lung,RPL11,1,no
18.human_CrossTissueImmuneCells,normal,Lung,RPL5,1,no
18.human_CrossTissueImmuneCells,normal,Lung,RPS8,2,no
18.human_CrossTissueImmuneCells,normal,Lung,S100A10,4,no
18.human_CrossTissueImmuneCells,normal,Lung,S100A11,1,no
18.human_CrossTissueImmuneCells,normal,Lung,S100A12,4,no
18.human_CrossTissueImmuneCells,normal,Lung,S100A4,1,no
18.human_CrossTissueImmuneCells,normal,Lung,S100A6,2,no
18.human_CrossTissueImmuneCells,normal,Lung,S100A9,3,no
18.human_CrossTissueImmuneCells,normal,Lung,SFPQ,4,no
18.human_CrossTissueImmuneCells,normal,Lung,SH3BGRL3,4,no
18.human_CrossTissueImmuneCells,normal,Lung,SH3GLB1,2,no
18.human_CrossTissueImmuneCells,normal,Lung,SMAP2,4,no
18.human_CrossTissueImmuneCells,normal,Lung,SOAT1,4,no
18.human_CrossTissueImmuneCells,normal,Lung,SSR2,4,no
18.human_CrossTissueImmuneCells,normal,Lung,SSU72,2,no
18.human_CrossTissueImmuneCells,normal,Lung,STMN1,1,no
18.human_CrossTissueImmuneCells,normal,Lung,TAGLN2,4,no
18.human_CrossTissueImmuneCells,normal,Lung,THEMIS2,2,no
18.human_CrossTissueImmuneCells,normal,Lung,TMED5,3,no
18.human_CrossTissueImmuneCells,normal,Lung,TMEM50A,2,no
18.human_CrossTissueImmuneCells,normal,Lung,TMEM59,1,no
18.human_CrossTissueImmuneCells,normal,Lung,TPM3,4,no
18.human_CrossTissueImmuneCells,normal,Lung,TXNIP,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ACTR3,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ANP32E,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ARF1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ARPC5,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ATF3,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,BTG2,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,CACYBP,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,CALM2,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,CAP1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,CAPZB,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,CD48,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,CD53,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,DBI,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ENO1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,FCER1G,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,GAS5,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,GNG5,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,H3F3A,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,HMGN2,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,MZT2B,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,NUCKS1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ODC1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,OST4,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,PARK7,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,PCBP1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,PRRC2C,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,PTP4A2,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,PTPRC,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,RPL22,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,RPL31,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,RRM2,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,S100A10,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,SFPQ,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,SH3BGRL3,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,SRM,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,SRSF7,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,SSR2,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,STMN1,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,TXNIP,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,UQCRH,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,YPEL5,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,YWHAQ,1,no
18.human_CrossTissueImmuneCells,normal,Lung-Draining Lymph Nodes,ZFP36L2,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,ANXA1,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,AREG,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,ARL4C,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,CD83,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,CXCR4,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,EEF1B2,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,EZR,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,H1FX,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,HIST1H1E,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,HLA-C,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,IL7R,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,LAPTM5,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,LTB,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,MCL1,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,PABPC1,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,RPL10A,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,RPL35,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,RPL5,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,RPL7,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,RPS20,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,RPS7,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,SARAF,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,TAGLN2,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,TXNIP,1,no
18.human_CrossTissueImmuneCells,normal,Mesenteric Lymph Nodes,ZFP36L2,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,ARPC5,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,ATF3,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,BTG2,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,C1QA,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,C1QB,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,C1QC,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,C1orf162,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,CD48,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,CDC42,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,CTSS,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,DDOST,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,FCER1G,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,GAS5,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,GNG5,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,H3F3A,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,HNRNPU,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,HSPA6,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,ID2,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,IER5,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,JUN,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,LAPTM5,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,LMNA,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,PRDX1,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,PTP4A2,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,RGS1,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,RPL11,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,RPL5,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,RPS27,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,RPS7,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,S100A10,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,S100A11,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,S100A12,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,S100A4,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,SH3BGRL3,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,SMAP2,2,no
18.human_CrossTissueImmuneCells,normal,Spleen,TAGLN2,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,TENT5C,1,no
18.human_CrossTissueImmuneCells,normal,Spleen,TXNIP,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,ACAP3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,ARHGEF10L,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,CAMTA1,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,CDA,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,CLIC4,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,CLSTN1,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,DHRS3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,EIF4G3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,GNB1,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,GRHL3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,HP1BP3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,ID3,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,KAZN,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,KDM1A,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,LUZP1,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,NMNAT1,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,PER3,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,PGD,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,PRDM2,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,RP5-857K21.4,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,RSRP1,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,RUNX3,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Mucosa,SZRD1,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,ARHGEF10L,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,ARID1A,4,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,EIF4G3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,H6PD,4,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,HES4,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,HNRNPR,3,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,ID3,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,KAZN,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,KDM1A,4,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,MAN1C1,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,MRPL20,2,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,NUDC,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,PARK7,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,PLA2G2A,1,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,TMEM51,3,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,UBR4,3,no
19.human_DiseaseGeneFusion,normal,Esophagus Muscularis,VWA1,1,no
19.human_DiseaseGeneFusion,normal,Heart,ACAP3,5,no
19.human_DiseaseGeneFusion,normal,Heart,ACOT7,4,no
19.human_DiseaseGeneFusion,normal,Heart,AP006222.2,5,no
19.human_DiseaseGeneFusion,normal,Heart,ATAD3A,5,no
19.human_DiseaseGeneFusion,normal,Heart,ATAD3B,5,no
19.human_DiseaseGeneFusion,normal,Heart,AURKAIP1,3,no
19.human_DiseaseGeneFusion,normal,Heart,C1orf159,5,no
19.human_DiseaseGeneFusion,normal,Heart,C1orf174,4,no
19.human_DiseaseGeneFusion,normal,Heart,CAMTA1,5,no
19.human_DiseaseGeneFusion,normal,Heart,CASZ1,3,no
19.human_DiseaseGeneFusion,normal,Heart,CCNL2,5,no
19.human_DiseaseGeneFusion,normal,Heart,CDK11A,4,no
19.human_DiseaseGeneFusion,normal,Heart,CDK11B,5,no
19.human_DiseaseGeneFusion,normal,Heart,CEP104,5,no
19.human_DiseaseGeneFusion,normal,Heart,CFAP74,4,no
19.human_DiseaseGeneFusion,normal,Heart,CLSTN1,5,no
19.human_DiseaseGeneFusion,normal,Heart,CPSF3L,5,no
19.human_DiseaseGeneFusion,normal,Heart,CPTP,4,no
19.human_DiseaseGeneFusion,normal,Heart,CTNNBIP1,5,no
19.human_DiseaseGeneFusion,normal,Heart,DFFA,5,no
19.human_DiseaseGeneFusion,normal,Heart,DFFB,4,no
19.human_DiseaseGeneFusion,normal,Heart,DNAJC11,5,no
19.human_DiseaseGeneFusion,normal,Heart,DVL1,5,no
19.human_DiseaseGeneFusion,normal,Heart,ENO1,5,no
19.human_DiseaseGeneFusion,normal,Heart,ERRFI1,3,no
19.human_DiseaseGeneFusion,normal,Heart,EXOSC10,5,no
19.human_DiseaseGeneFusion,normal,Heart,FAAP20,5,no
19.human_DiseaseGeneFusion,normal,Heart,FBXO44,5,no
19.human_DiseaseGeneFusion,normal,Heart,FO538757.2,5,no
19.human_DiseaseGeneFusion,normal,Heart,GNB1,4,no
19.human_DiseaseGeneFusion,normal,Heart,GPR157,5,no
19.human_DiseaseGeneFusion,normal,Heart,H6PD,5,no
19.human_DiseaseGeneFusion,normal,Heart,HES4,5,no
19.human_DiseaseGeneFusion,normal,Heart,ICMT,4,no
19.human_DiseaseGeneFusion,normal,Heart,KCNAB2,4,no
19.human_DiseaseGeneFusion,normal,Heart,KIF1B,4,no
19.human_DiseaseGeneFusion,normal,Heart,KLHL21,5,no
19.human_DiseaseGeneFusion,normal,Heart,LINC00982,4,no
19.human_DiseaseGeneFusion,normal,Heart,LRRC47,4,no
19.human_DiseaseGeneFusion,normal,Heart,LZIC,5,no
19.human_DiseaseGeneFusion,normal,Heart,MIB2,5,no
19.human_DiseaseGeneFusion,normal,Heart,MIR34AHG,4,no
